序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的年龄：,3、您的职业：,4、您的月收入（人民币）:,5、您每天使用社交媒体的时长大约是多少？,6、您是否了解始祖鸟（Arc'teryx）品牌？,7、您通过以下哪些渠道接触过始祖鸟品牌?,8、始祖鸟的社交媒体内容对您的吸引力如何?,9、您是否曾与始祖鸟的社交媒体账号互动?,10、您更倾向于哪种互动方式？（可多选）,11、您认为始祖鸟社交媒体互动的体验如何？,12、您对始祖鸟品牌的印象如何？（可多选）,13、始祖鸟社交媒体是否增加了您对品牌的了解？,14、您是否因社交媒体内容购买过始祖鸟产品？,15、您最常通过以下哪种途径购买？（可多选）,16、阻碍您购买的原因是什么？（可多选）,17、您对始祖鸟社交媒体的整体满意度如何？,18、您认为始祖鸟社交媒体内容有哪些需要改进的地方？（可多选）,您对始祖鸟社交媒体营销有哪些建议或想法？请简要描述。
1,2025/4/1 11:04:42,86秒,微信,N/A,222.64.223.147(上海-上海),女,26-35岁,企业职员,8000-15000元,3-5小时,略有了解,小红书┋抖音/快手┋朋友推荐┋线下店铺,一般,从未互动,点赞┋评论,一般,高端户外品牌┋专业性强┋价格较高,一般,否,(跳过),价格过高,一般,内容丰富度,(空)
2,2025/4/1 11:04:50,83秒,微信,N/A,117.10.206.251(天津-天津),男,36-45岁,政府机关工作人员,8000-15000元,1-3小时,非常了解,微信公众号┋品牌宫网┋朋友推荐┋线下店铺,比较吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈,非常好,高端户外品牌┋专业性强,很多,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),非常满意,内容丰富度,(空)
3,2025/4/1 11:07:30,92秒,微信,N/A,60.27.158.229(天津-天津),男,18-25岁,其他,3000-8000元,1-3小时,略有了解,品牌宫网┋朋友推荐,一般,从未互动,点赞,一般,价格较高,一般,否,(跳过),品牌吸引力不足┋其他：,一般,内容丰富度┋与用户互动性,无
4,2025/4/1 11:10:02,139秒,微信,N/A,223.104.7.57(天津-天津),男,26-35岁,政府机关工作人员,3000-8000元,3-5小时,略有了解,微信公众号┋微博┋抖音/快手┋其他：〖bilibili〗,完全不吸引,从未互动,其他：〖不互动〗,一般,高端户外品牌┋专业性强┋价格较高,完全没有,否,(跳过),价格过高┋不需要相关产品,一般,发布频率,(空)
5,2025/4/1 11:13:12,88秒,微信,N/A,223.104.69.64(广东-佛山),男,26-35岁,其他,15000元以上,1-3小时,略有了解,抖音/快手┋线下店铺,比较吸引,从未互动,点赞┋分享到个人社交圈,一般,高端户外品牌┋价格较高,一些,是,第三方电商平台（如天猫、京东）,(跳过),比较满意,其他：〖价格〗,无
6,2025/4/1 11:14:38,101秒,微信,N/A,223.104.41.220(北京-北京),男,26-35岁,政府机关工作人员,8000-15000元,1-3小时,略有了解,微信公众号┋微博┋小红书┋抖音/快手┋品牌宫网┋朋友推荐┋线下店铺┋社交媒体广告(如朋友圈广告),比较吸引,从未互动,点赞┋评论┋分享到个人社交圈┋参与话题活动┋私信交流┋观看直播,比较好,高端户外品牌,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),非常满意,内容丰富度┋与用户互动性┋创意和设计感┋信息实用性┋发布频率┋客户服务／售后服务,无
7,2025/4/1 11:15:51,86秒,微信,N/A,39.144.55.133(辽宁-辽阳),女,46岁及以上,政府机关工作人员,3000-8000元,3-5小时,非常了解,微信公众号┋抖音/快手┋其他：,非常吸引,从未互动,观看直播┋其他：,非常好,高端户外品牌┋专业性强┋价格较高,很多,否,(跳过),价格过高,比较满意,创意和设计感,(空)
8,2025/4/1 11:22:54,84秒,微信,N/A,114.254.0.166(北京-北京),男,26-35岁,政府机关工作人员,15000元以上,3-5小时,略有了解,品牌宫网┋朋友推荐,一般,很少互动,分享到个人社交圈┋参与话题活动,一般,高端户外品牌,一般,是,官方电商平台,(跳过),一般,其他：,(空)
9,2025/4/1 11:23:11,90秒,微信,N/A,39.144.54.6(辽宁-辽阳),女,26-35岁,政府机关工作人员,8000-15000元,3-5小时,略有了解,小红书┋品牌宫网┋朋友推荐┋线下店铺,一般,从未互动,私信交流┋观看直播,一般,高端户外品牌┋专业性强┋价格较高,较少,否,(跳过),价格过高┋不需要相关产品┋品牌吸引力不足,一般,与用户互动性┋创意和设计感┋信息实用性,无
10,2025/4/1 11:24:33,39秒,微信,N/A,175.167.155.133(辽宁-沈阳),男,18-25岁,自由职业者,3000-8000元,3-5小时,非常了解,微信公众号,非常吸引,经常互动(点赞、评论、分享等),点赞,非常好,高端户外品牌,很多,是,官方电商平台,(跳过),非常满意,内容丰富度,便宜一点
